Projection using October 2024 data (data sent in January 2025),UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,
,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21.00,20.00,23.00,21.00,21.00,23.00,21.00,20.00,22.00,20.00,21.00,254.00
geography_name,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,annual
England,82473871.00,82304588.00,82507349.00,82472617.00,82292219.00,82342838.00,82245484.00,82046593.00,81404347.00,81404347.00,81404347.00,81404347.00,5802307.00,5837647.00,5454752.00,6178725.00,5590271.00,5745564.00,6598605.00,6100253.00,5293427.00,6214441.00,6321188.00,6591877.00,0.85,0.86,0.84,0.83,0.82,0.84,0.89,0.90,0.83,0.88,0.99,0.98,0.88
"Bath And North East Somerset, Swindon And Wiltshire ICB",1100280.00,1092667.00,1089667.00,1109191.00,1116351.00,1114284.00,1102964.00,1104550.00,1098727.00,1098727.00,1098727.00,1098727.00,72988.00,73183.00,69308.00,80946.00,73005.00,72924.00,82319.00,77713.00,67549.00,80578.00,79416.00,86639.00,0.80,0.81,0.81,0.81,0.79,0.79,0.82,0.85,0.78,0.85,0.92,0.95,0.83
"Bedfordshire, Luton And Milton Keynes ICB",1210612.00,1240890.00,1238890.00,1238890.00,1228258.00,1229867.00,1229867.00,1228142.00,1198199.00,1198199.00,1198199.00,1198199.00,98107.00,95477.00,84926.00,96911.00,95839.00,89681.00,108547.00,95268.00,84710.00,100974.00,107403.00,105086.00,0.98,0.93,0.87,0.86,0.94,0.88,0.97,0.94,0.90,0.97,1.14,1.06,0.97
Birmingham And Solihull ICB,2021088.00,2041517.00,2041517.00,2040469.00,2038249.00,2040586.00,2041963.00,2041794.00,2033942.00,2033942.00,2033942.00,2033942.00,153692.00,163540.00,153909.00,172035.00,160597.00,163987.00,183484.00,171310.00,147081.00,170906.00,182911.00,167634.00,0.92,0.97,0.96,0.93,0.95,0.97,0.99,1.01,0.92,0.97,1.14,1.00,0.98
Black Country ICB,2027874.00,2021157.00,2019112.00,2019112.00,2025829.00,2030987.00,2037729.00,2035729.00,2027553.00,2027553.00,2027553.00,2027553.00,162728.00,154854.00,143030.00,158749.00,149908.00,149533.00,170492.00,159295.00,135490.00,163075.00,159778.00,152218.00,0.97,0.93,0.90,0.87,0.90,0.89,0.92,0.95,0.85,0.93,1.00,0.91,0.92
"Bristol, North Somerset And South Gloucestershire ICB",1439502.00,1442126.00,1441453.00,1440495.00,1464968.00,1459200.00,1456628.00,1464628.00,1465998.00,1465998.00,1465998.00,1465998.00,85008.00,81987.00,75643.00,84998.00,74249.00,79823.00,94293.00,84037.00,72940.00,87127.00,88759.00,98574.00,0.71,0.69,0.67,0.65,0.61,0.66,0.71,0.69,0.63,0.69,0.77,0.81,0.69
"Buckinghamshire, Oxfordshire And Berkshire West ICB",2126956.00,2112585.00,2111885.00,2118985.00,2116936.00,2116373.00,2118150.00,2117829.00,2097405.00,2097405.00,2097405.00,2097405.00,160496.00,153946.00,147127.00,167680.00,157757.00,155922.00,180569.00,159907.00,149526.00,171067.00,175827.00,183742.00,0.91,0.88,0.88,0.87,0.90,0.89,0.94,0.91,0.91,0.94,1.06,1.06,0.94
Cambridgeshire And Peterborough ICB,1090358.00,1087938.00,1091117.00,1091923.00,1091923.00,1093388.00,1095548.00,1088076.00,1083755.00,1083755.00,1083755.00,1083755.00,64046.00,62028.00,58558.00,64385.00,59686.00,61002.00,68960.00,60735.00,50914.00,57629.00,61529.00,61102.00,0.71,0.69,0.68,0.65,0.66,0.67,0.70,0.68,0.60,0.61,0.72,0.68,0.67
Cheshire And Merseyside ICB,4497073.00,4502127.00,4508244.00,4492615.00,4455027.00,4462063.00,4433418.00,4384095.00,4313952.00,4313952.00,4313952.00,4313952.00,301252.00,302968.00,285271.00,320843.00,282360.00,303805.00,345359.00,325223.00,269723.00,322482.00,327660.00,358738.00,0.81,0.81,0.80,0.79,0.77,0.82,0.86,0.90,0.79,0.86,0.96,1.01,0.87
Cornwall And The Isles Of Scilly ICB,801921.00,727287.00,751728.00,722687.00,749224.00,741901.00,730150.00,737473.00,713674.00,713674.00,713674.00,713674.00,39060.00,36924.00,35826.00,41597.00,39042.00,38181.00,44100.00,37945.00,31942.00,36247.00,35904.00,36434.00,0.59,0.61,0.61,0.64,0.63,0.62,0.67,0.62,0.57,0.59,0.64,0.62,0.64
