calendar_month,financial_year,geography_level,geography_name,geography_code,UDAs_annual_contracted,UDAs_delivered_month,UDAs_delivered_month_percent_contracted_standardised,UDAs_delivered_year_to_date,CoT_band1_delivered_incl_FD,CoT_band2_delivered_incl_FD,CoT_band2a_delivered_incl_FD,CoT_band2b_delivered_incl_FD,CoT_band2c_delivered_incl_FD,CoT_band3_delivered_incl_FD,CoT_other_delivered_incl_FD,CoT_urgent_delivered_incl_FD,CoT_total_delivered_incl_FD,unique_patients_seen_12_month,unique_children_seen_12_month,unique_adults_seen_24_month,total_NPP_patients_seen,adult_NPP_patients_seen,child_NPP_patients_seen,adult_NPP_band_1,adult_NPP_band_23,child_NPP_band_1,child_NPP_band_23,pre_NPP_launch,post_NPP_launch_unpaid,post_NPP_launch_paid
2024-12,2024/25,National,England,National,81404347,4766592.6,74,51856935.4,1348933,580892,427204,146098,7576,92841,6287,257678,2286631,21256027,7066671,18145741,266405,166600,99805,78987,87613,72678,27127,,,266405
2024-11,2024/25,National,England,National,82046593,5882472,87,47090342.8,1720283,733618,538641,185564,9367,108845,7993,272332,2843071,21254516,7059456,18162315,350575,221459,129116,109310,112149,94548,34568,,,350575
2024-10,2024/25,National,England,National,82245484,6598605.2,89,41207870.8,2011657,811666,596856,204724,10046,118862,8527,294821,3245533,21251953,7046395,18181746,400338,238912,161426,120553,118359,121517,39909,,,400338
2024-09,2024/25,National,England,National,82342838,5745564,84,34609265.6,1699498,711431,525769,176517,9100,102012,8011,274448,2795400,21151609,7001323,18152204,333119,211119,122000,107093,104026,90415,31585,,1552,333119
2024-08,2024/25,National,England,National,82292219,5590270.6,82,28863701.6,1834213,670356,494771,167535,7964,97435,7638,260545,2870187,21103255,6972983,18152552,337700,190110,147590,96871,93239,111608,35982,,2189,337700
2024-07,2024/25,National,England,National,82472617,6178725,83,23273431,1827687,764475,563642,190679,10078,120873,8805,291199,3013039,21084445,6950217,18150085,364440,222376,142064,109994,112382,105939,36125,,4130,364440
2024-06,2024/25,National,England,National,82507349,5454752.2,84,17094706,1554397,690423,508535,172911,8889,106717,7987,260970,2620494,20983403,6905548,18116852,314385,197894,116491,97666,100228,85806,30685,,6594,314385
2024-05,2024/25,National,England,National,82304588,5837647.2,86,11639953.8,1747261,724416,534614,180820,8887,111232,8291,278071,2869271,21012014,6903707,18120721,334226,199401,134825,101683,97718,101592,33233,,13837,334226
2024-04,2024/25,National,England,National,82473871,5802306.6,85,5802306.6,1838125,725334,538282,178382,8511,100632,8510,277288,2949889,20968899,6866459,18133337,322355,185069,137286,103783,81286,105493,31793,,33867,322355
2024-03,2023/24,National,England,National,82972014,6177894.2,93,69377538.6,1605921,751994,542954,198353,10321,139590,9447,269120,2776072,20843827,6817463,18111864,304298,176898,127400,110098,66800,99639,27761,,87599,304298
2024-02,2023/24,National,England,National,83142004,6536936.8,94,63199644.4,1910093,805947,587533,207862,10133,128906,9426,275405,3129777,20906173,6814931,18129038,,,,,,,,405717,,
2024-01,2023/24,National,England,National,83606517,6114129.8,83,56662707.6,1802358,798942,591472,196759,10279,102203,10822,306574,3020899,20845638,6785315,18102744,,,,,,,,371684,,
2023-12,2023/24,National,England,National,83935368,4901128.4,77,50548577.8,1314984,598562,443124,146855,8222,101588,8349,273069,2296552,20813418,6757565,18077584,,,,,,,,290196,,
2023-11,2023/24,National,England,National,84031840,6256277.4,85,45647449.4,1722754,786476,581597,193958,10333,124032,9995,292928,2936185,20789094,6743889,18045731,,,,,,,,384164,,
2023-10,2023/24,National,England,National,83960213,6202545.6,84,39391172,1786408,769247,571013,187954,9496,118839,9995,280664,2965153,20733647,6705009,18013839,,,,,,,,390570,,
2023-09,2023/24,National,England,National,83831119,5570774.4,79,33188626.4,1578278,694291,520114,164361,8669,104091,9278,270006,2655944,20659249,6666088,17988542,,,,,,,,337517,,
2023-08,2023/24,National,England,National,83968536,5772175.4,78,27617852,1783332,704669,530000,164558,8415,107469,9716,277888,2883074,20638449,6640060,17949939,,,,,,,,367898,,
