"Table_2c: Units of dental activity by treatment band, patient type and financial year, England, 2019/2020 to 2023/2024",,,,,,,,,,,
Notes,,,,,,,,,,,
1. Some cells in this table are empty because data was not available for the time period. Band 2 sub-bands were introduced for treatment with a date of acceptance on or after 25 November 2022.,,,,,,,,,,,
"2. Patient type can be exempt, non-exempt, or child. A child is classed as being aged 17 or under at the time that treatment starts. Exempt patients do not pay patient charges towards their treatment, but do not have an age exemption.",,,,,,,,,,,
Financial Year,Patient Type,Band 1,Band 2,Band 2a,Band 2b,Band 2c,Band 3,Urgent,Free,Regulation 11 Replacement Appliance,Total
2023/2024,Child,8006241,27948,5221419,3593150,79674,866460,655590,188,,18450670
2023/2024,Exempt,1693443,25191,4323933,2307425,181153,8527116,1283857,29,24,18342172
2023/2024,Non-Exempt,10219342,52557,10248834,4867140,520520,7174764,2435495,78419,112296,35709367
2022/2023,Child,7125389,4822701,1834272,1132550,23905,858060,642431,200,,16439508
2022/2023,Exempt,1530595,3728904,1389135,733250,53809,9285756,1301089,16,24,18022578
2022/2023,Non-Exempt,9406188,9681305,3407214,1592255,157297,8665092,2556959,84081,118200,35668590
2021/2022,Child,5591602,5724837,,,,665616,617419,166,,12599640
2021/2022,Exempt,1255953,4587453,,,,7999500,1344181,,,15187087
2021/2022,Non-Exempt,6926504,12218229,,,,8036016,2577682,85707,92772,29936910
2020/2021,Child,2149862,2234373,,,,243252,515634,111,,5143232
2020/2021,Exempt,480072,1953546,,,,2718312,1177826,,,6329756
2020/2021,Non-Exempt,2257929,4905126,,,,3006984,2601095,63180,44160,12878473
2019/2020,Child,8492945,7715345,,,,840264,588523,278,,17637356
2019/2020,Exempt,2244343,6552952,,,,10698888,1173688,5,,20669876
2019/2020,Non-Exempt,12260051,15871570,,,,10413840,2599493,123509,149412,41417874
